ST_CODE,AC_NAME,PHASE,CAND_SL_NO,CAND_NAME,CAND_SEX,CAND_AGE,CAND_CATEGORY,PARTYABBRE,PARTYNAME,SYMBOL_DES
S01,Kovvur,2,1,ELIPE VENKATA RAO,M,46,SC,BSP,Bahujan Samaj Party,Elephant
S01,Kovvur,2,2,KOYYE MOSENU RAJU,M,44,SC,INC,Indian National Congress,Hand
S01,Kovvur,2,3,BUSI SUNDARANADH BENARJI,M,38,SC,BJP,Bharatiya Janata Party,Lotus
S01,Kovvur,2,4,T V RAMA RAO,M,49,SC,TDP,Telugu Desam,Bicycle
S01,Kovvur,2,5,BUNGA SARADHI,M,57,SC,PRP,Praja Rajyam Party,Railway Engine
S01,Kovvur,2,6,VENKATESWARA RAO TALARI,M,32,SC,PPOI,Pyramid Party of India,Television
S01,Kovvur,2,7,SODADASI SUNDAR SINGH,M,34,SC,LSP,Lok Satta Party,Whistle
S01,Kovvur,2,8,UBA LAKSHMANA RAO,M,55,SC,IND,Independent,Slate
S01,Kovvur,2,9,KUNDA RANGA RAO,M,50,SC,IND,Independent,Gas Cylinder
S01,Kovvur,2,10,GELLA RAHULDEV,M,49,SC,IND,Independent,Coconut
S01,Kovvur,2,11,GANTA ABBULU,M,48,SC,IND,Independent,Camera
S01,Kovvur,2,12,BONTHA KISHORE,M,32,SC,IND,Independent,Cup & Saucer
S01,Nidadavole,2,1,VISWESWARA RAO RAAVI,M,69,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Nidadavole,2,2,NAKKA VENKATESWARLU,M,46,SC,BSP,Bahujan Samaj Party,Elephant
S01,Nidadavole,2,3,BURUGUPALLI SESHA RAO,M,44,GEN,TDP,Telugu Desam,Bicycle
S01,Nidadavole,2,4,G.SRINIVAS NAIDU,M,41,GEN,INC,Indian National Congress,Hand
S01,Nidadavole,2,5,RUDRARAJU GAJAPATHI KUMAR RAJU,M,48,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Nidadavole,2,6,TALLURI SATYANARAYANA,M,63,GEN,PPOI,Pyramid Party of India,Television
S01,Nidadavole,2,7,BANDI SATYANARAYANA,M,45,GEN,LSP,Lok Satta Party,Whistle
S01,Nidadavole,2,8,GALINKI KRISHNA,M,36,GEN,IND,Independent,Cup & Saucer
S01,Nidadavole,2,9,MANGA RAJU CHEEKATIMILLI,M,42,SC,IND,Independent,Tent
S01,Nidadavole,2,10,BOKKA SATYANARAYAA,M,62,GEN,IND,Independent,Batsman
S01,Nidadavole,2,11,GUBBALA SREE RANGA NAYAKULU,M,60,GEN,IND,Independent,Road Roller
S01,Achanta,2,1,KARRI RADHA KRISHNA REDDY,M,51,GEN,TDP,Telugu Desam,Bicycle
S01,Achanta,2,2,GUDIMETLA RAMA KANAKA REDDY,M,30,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Achanta,2,3,BHUPATI RAJU VENKATA KRISHNAM RAJU,M,43,GEN,BSP,Bahujan Samaj Party,Elephant
S01,Achanta,2,4,SATYANARAYANA PITHANI,M,55,GEN,INC,Indian National Congress,Hand
S01,Achanta,2,5,KATTA VENU GOPALA KRISHNA,M,33,GEN,RPI,Republican Party of India,Ceiling Fan
S01,Achanta,2,6,KUDIPUDI SRINIVASA RAO,M,43,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Achanta,2,7,BALUSU SRIRAMULU,M,60,GEN,PPOI,Pyramid Party of India,Television
S01,Achanta,2,8,VENDRA MURALI,M,43,GEN,RKSP,Rashtriya Krantikari Samajwadi Party,Tent
S01,Achanta,2,9,RAPAKA PRABHAKARA RAO,M,38,GEN,TPPP,Trilinga Praja Pragati Party,Almirah
S01,Achanta,2,10,M P T VENKATA REDDY,M,41,GEN,BHSASP,Bharatheeya Sadharma Samsthapana Party,Balloon
S01,Achanta,2,11,VENUGOPALA KRISHNA NEKKANTI,M,54,GEN,LSP,Lok Satta Party,Whistle
S01,Achanta,2,12,SATTI SOMIREDDY (ANKUSAM REDDY),M,55,GEN,PRSHP,Praja Shanthi Party,Hat
S01,Achanta,2,13,KARRI NAGA SATHYANARAYANA REDDY,M,33,GEN,IND,Independent,Bat
S01,Achanta,2,14,CHETLAPALLI GOPALA RAO,M,73,GEN,IND,Independent,Brief Case
S01,Palakol,2,1,USHA RANI BANGARU,F,54,GEN,INC,Indian National Congress,Hand
S01,Palakol,2,2,KOLLABATHULA ELIYA,M,41,GEN,BSP,Bahujan Samaj Party,Elephant
S01,Palakol,2,3,KORAM MUSALAYYA,M,34,ST,BJP,Bharatiya Janata Party,Lotus
S01,Palakol,2,4,CHAVATAPALLI SATYANARAYANA MURTHY,M,67,GEN,TDP,Telugu Desam,Bicycle
S01,Palakol,2,5,KONIDALA CHINRANJEEVI,M,53,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Palakol,2,6,TAMMINEEDI LAKSHMI NARAYANA,M,48,GEN,PP,Praja Party,Letter Box
S01,Palakol,2,7,DEVAGANUGULA NAGESWARA RAO,M,52,GEN,RKSP,Rashtriya Krantikari Samajwadi Party,Road Roller
S01,Palakol,2,8,MEKA VENKATESWARA RAO,M,44,GEN,PPOI,Pyramid Party of India,Television
S01,Palakol,2,9,VADDADI SURYANARAYANA,M,42,GEN,LSP,Lok Satta Party,Whistle
S01,Palakol,2,10,GAJABHEER KARAR BANSILAL,M,45,GEN,IND,Independent,Gas Stove
S01,Palakol,2,11,DONGA NAGENDRA PRASAD,M,34,GEN,IND,Independent,Hat
S01,Palakol,2,12,SAVARAPU VENKATESWARLU,M,37,GEN,IND,Independent,Candles
S01,Palakol,2,13,SRIKAKOLLU NAGA VENKATA DURGA SARVESWARA RAO,M,51,GEN,IND,Independent,Not Alloted
S01,Narsapuram,2,1,ASHOK KUMAR NALLI,M,45,SC,BSP,Bahujan Samaj Party,Elephant
S01,Narsapuram,2,2,THOTA GANGARAJU,M,25,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Narsapuram,2,3,BOMMIDI NARAYANA RAO,M,63,GEN,TDP,Telugu Desam,Bicycle
S01,Narsapuram,2,4,MUDUNURI PRASADA RAJU,M,35,GEN,INC,Indian National Congress,Hand
S01,Narsapuram,2,5,KOTHAPALLI SUBBARAYUDU (PEDA BABU),M,49,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Narsapuram,2,6,MALLULA VENKATESWARA RAO,M,66,GEN,LSP,Lok Satta Party,Whistle
S01,Narsapuram,2,7,REDDY RAMBABU,M,29,GEN,PPOI,Pyramid Party of India,Television
S01,Narsapuram,2,8,KAKARA VIJAYA PRASAD,M,38,SC,IND,Independent,Brief Case
S01,Narsapuram,2,9,KOTHAPALLI DURGARAO,M,42,GEN,IND,Independent,Road Roller
S01,Narsapuram,2,10,PAMULA ANAND RAJU,M,60,GEN,IND,Independent,Black Board
S01,Narsapuram,2,11,POTHUREDDY PANDU RANGA RAO,M,44,GEN,IND,Independent,Camera
S01,Narsapuram,2,12,V. YESHAYYA,M,35,SC,IND,Independent,Bread
S01,Bhimavaram,2,1,GADHIRAJU SATYANARAYANA RAJU (GADHIRAJU BABU),M,53,GEN,TDP,Telugu Desam,Bicycle
S01,Bhimavaram,2,2,CHELLABOINA SOMESWARA RAO,M,43,GEN,BSP,Bahujan Samaj Party,Elephant
S01,Bhimavaram,2,3,RAMANJANEYULU PULAPARTHI (ANJIBABU),M,54,GEN,INC,Indian National Congress,Hand
S01,Bhimavaram,2,4,M L N SRINIVAS,M,42,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Bhimavaram,2,5,ALLURI SITARAMARAJU,M,62,GEN,LSP,Lok Satta Party,Whistle
S01,Bhimavaram,2,6,S V P K H G KRISHNAMRAJU (ADITYA KRISHNAMRAJU),M,43,GEN,PPOI,Pyramid Party of India,Television
S01,Bhimavaram,2,7,NAVUNDRU RAJENDRA PRASAD,M,44,SC,BHSASP,Bharatheeya Sadharma Samsthapana Party,Tent
S01,Bhimavaram,2,8,RAMISETTI RAMU,M,49,GEN,MCPI(S),Marxist Communist Party of India (S.S. Srivastava),Gas Cylinder
S01,Bhimavaram,2,9,VEGESNA SURYANARAYANA RAJU (KANAKARAJU SURI),M,40,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Bhimavaram,2,10,VEMULA MURALI,M,28,GEN,PP,Praja Party,Cake
S01,Bhimavaram,2,11,SUNKARA VEERA RAGHAVA REDDY,M,47,GEN,AJBP,Ajeya Bharat Party,Battery Torch
S01,Bhimavaram,2,12,ALLURI JAGANNADHARAJU,M,57,GEN,IND,Independent,Ceiling Fan
S01,Bhimavaram,2,13,PENTA KRISHNA,M,72,GEN,IND,Independent,Table
S01,Bhimavaram,2,14,BALAM VENKATESWARULU,M,38,SC,IND,Independent,Ring
S01,Bhimavaram,2,15,VARADA VENKATESWARARAO,M,40,GEN,IND,Independent,Letter Box
S01,Undi,2,1,ESTHERU RANI MUVVALLA,F,50,SC,BSP,Bahujan Samaj Party,Elephant
S01,Undi,2,2,KATIREDDI SATYANARAYANA,M,26,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Undi,2,3,PATHAPATI SARRAJU,M,56,GEN,INC,Indian National Congress,Hand
S01,Undi,2,4,V V SIVA RAMA RAJU (KALAVAPUDI SIVA),M,38,GEN,TDP,Telugu Desam,Bicycle
S01,Undi,2,5,K V K GANDHI,M,60,GEN,PPOI,Pyramid Party of India,Television
S01,Undi,2,6,JANAKI RAMA RAJU GOTTUMUKKALA,M,61,GEN,LSP,Lok Satta Party,Whistle
S01,Undi,2,7,PALLAYYA VANAPALLI (BABURAO),M,26,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Undi,2,8,PENMATHSA RAMA VENKATA NAGA KRISHNAM RAJU (RAVI RAJU),M,26,GEN,IND,Independent,Brief Case
S01,Undi,2,9,MANTHENA VENKATA RAMA RAJU,M,26,GEN,IND,Independent,Ring
S01,Undi,2,10,LAKSHMI PRASANNA SEELAM,F,32,GEN,IND,Independent,Electric Pole
S01,Tanuku,2,1,KARUMURI VARALAKSHMI,F,41,GEN,BSP,Bahujan Samaj Party,Elephant
S01,Tanuku,2,2,KARUMURI VENKATA NAGESWARA RAO,M,44,GEN,INC,Indian National Congress,Hand
S01,Tanuku,2,3,NARINI VENKATA SUBBARAO (TATAJI),M,33,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Tanuku,2,4,Y T RAJA,M,58,GEN,TDP,Telugu Desam,Bicycle
S01,Tanuku,2,5,AKULA VIJAYA,M,39,GEN,RKSP,Rashtriya Krantikari Samajwadi Party,Almirah
S01,Tanuku,2,6,AKULA SRIRAMULU,M,55,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Tanuku,2,7,DIDDEY MADHU BABU MADIGA,M,26,GEN,TPPP,Trilinga Praja Pragati Party,Nagara
S01,Tanuku,2,8,VENKATA SRINIVASU KOTIPALLI (VASU),M,39,GEN,PPOI,Pyramid Party of India,Television
S01,Tanuku,2,9,DR. SUBBALAKSHMI VALLURI,F,45,GEN,LSP,Lok Satta Party,Whistle
S01,Tanuku,2,10,KODURI SRIRAMULU,M,47,GEN,IND,Independent,Gas Cylinder
