AC_NO,AC_NAME,PHASE,CAND_SL_NO,CAND_NAME,CAND_SEX,CAND_AGE,CAND_CATEGORY,PARTYABBRE,PARTYNAME,SYMBOL_DES
1,Sirpur,1,1,KAVETI SAMMAIAH,M,51,GEN,TRS,Telangana Rashtra Samithi,Car
1,Sirpur,1,2,KONERU KONAPPA,M,54,GEN,INC,Indian National Congress,Hand
1,Sirpur,1,3,GANAPURAM MURALIDHER,M,44,GEN,BJP,Bharatiya Janata Party,Lotus
1,Sirpur,1,4,RAVINDAR NIKODA,M,30,GEN,BSP,Bahujan Samaj Party,Elephant
1,Sirpur,1,5,DUBBULA JANARDHAN,M,41,GEN,LSP,Lok Satta Party,Whistle
1,Sirpur,1,6,BINGI SRINIVAS,M,40,GEN,PPOI,Pyramid Party of India,Television
1,Sirpur,1,7,LENDUGURE MENGAJI PATEL,M,59,GEN,PRP,Praja Rajyam Party,Railway Engine
1,Sirpur,1,8,DUBBULA VENKAIAH,M,29,GEN,IND,Independent,Road Roller
2,Chennur,1,1,ARUMULLA POSHAM,M,43,SC,BJP,Bharatiya Janata Party,Lotus
2,Chennur,1,2,NALLALA ODELU,M,45,SC,TRS,Telangana Rashtra Samithi,Car
2,Chennur,1,3,G. VINOD,M,53,SC,INC,Indian National Congress,Hand
2,Chennur,1,4,ANDUGULA SRINIVAS,M,38,SC,PRP,Praja Rajyam Party,Railway Engine
2,Chennur,1,5,JADI MALLAIAH,M,56,SC,JD(S),Janata Dal (Secular),A lady farmer carrying paddy on her head
2,Chennur,1,6,MEKALA SAROJA,F,36,SC,LSP,Lok Satta Party,Whistle
2,Chennur,1,7,JADI YESAIAH,M,39,SC,IND,Independent,Road Roller
2,Chennur,1,8,PONNALA VINAY KUMAR,M,40,SC,IND,Independent,Cup & Saucer
2,Chennur,1,9,VOLAPU SRINIVAS,M,31,SC,IND,Independent,Coconut
3,BELLAMPALLE,1,1,GUNDA MALLESH,M,62,SC,CPI,Communist Party of India,Ears of Corn And Sickle
3,BELLAMPALLE,1,2,CHILUMALA SHANKAR,M,44,SC,INC,Indian National Congress,Hand
3,BELLAMPALLE,1,3,AMURAJULA SRIDEVI,F,35,SC,PRP,Praja Rajyam Party,Railway Engine
3,BELLAMPALLE,1,4,PAGIDI VENKATI,M,45,SC,IND,Independent,Television
3,BELLAMPALLE,1,5,BOLUMALLA ANJAIAH,M,64,SC,IND,Independent,Ring
3,BELLAMPALLE,1,6,RAVULA RAMAKRISHNA,M,34,SC,IND,Independent,Cup & Saucer
3,BELLAMPALLE,1,7,SAKINALA NARAYANA,M,34,SC,IND,Independent,Gas Cylinder
4,Mancherial,1,1,ARAVINDA REDDY GADDAM,M,51,GEN,TRS,Telangana Rashtra Samithi,Car
